ville,avg_actual,avg_pred,avg_gap,avg_gap_pct,count
Djerba - Midoun,510000.0,373468.71228013956,136531.28771986044,28.754315023697465,2
Dar Chaabane,700.0,636.2846073404037,63.71539265959626,9.455220405306621,2
zone-touristique-monastir,475400.0,112861.61247537116,362538.38752462884,26.24048568828279,2
zouila,580000.0,266087.72598199674,313912.27401800326,39.907965488686024,2
Sidi Amor Raoued,675.0,759.5140518551044,-84.51405185510441,-11.686760730545933,2
menzah-6,910000.0,1027160.2594970083,-117160.25949700827,-8.305762063462918,2
madina-jadida,497500.0,399716.7717178998,97783.22828210016,12.848374386704867,2
le-lac-2,1900.0,1344.4407696385697,555.5592303614302,28.6088187428421,2
m-saken,321000.0,363753.6054050746,-42753.6054050746,-14.55174140334626,2
Msaken,1645.0,567.9213895957264,1077.0786104042736,1.9383583033829552,2
Menzel Jemil Centre Ville,325.0,396.3986422560804,-71.39864225608036,-22.13163210740695,2
Béni Khiar,1100.0,757.2352578684876,342.76474213151243,30.7093819195159,2
menzah-7,776900.0,585517.9403063634,191382.0596936367,25.1272016267672,2
Bouhsina,535.0,839.995601916937,-304.99560191693706,-60.264471846316574,2
khezema-est,186700.0,112566.13226224737,74133.86773775265,45.492215098951505,2
Cité El Merdes,450.0,834.381616168694,-384.38161616869405,-85.67131704808695,2
Cité El Hana,575.0,601.8162917489564,-26.81629174895636,-7.242488909627843,2
rades-meliane,165000.0,201093.8105801916,-36093.81058019161,-21.322457994853366,2
Cité Chaker,775.0,658.806754545554,116.19324545444606,14.464118808860183,2
sidi-daoued,1350.0,1343.0933428642834,6.906657135716841,0.5116042322753227,2
route-gremda,215000.0,209263.81353569336,5736.1864643066365,-4.660159874465293,2
rades-foret,515000.0,583467.8428677194,-68467.84286771936,-13.294726770430945,1
rades-monjil,590000.0,638979.2717671735,-48979.271767173545,-8.301571485961617,1
route-de-mahdia,230000.0,291755.6101012989,-61755.610101298895,-26.850265261434306,1
salakta,125000.0,178011.84288938154,-53011.84288938154,-42.40947431150524,1
sidi-rezig,750000.0,984199.3645333594,-234199.36453335945,-31.22658193778125,1
"situé dans un bon quartier à Sers, Kef",170000.0,451162.71101730026,-281162.71101730026,-165.3898300101766,1
"situé à Beb EL Khadhra, Tunis",320000.0,236968.65574450695,83031.34425549302,25.94729507984157,1
"situé à Beb Mnara, Tunis",190000.0,195367.06594508205,-5367.065945082053,-2.824771550043186,1
Cité EZZOUHOUR,800.0,897.9607833346087,-97.96078333460866,-12.245097916826085,1
Cité El Jalaa,400.0,841.5184552177514,-441.51845521775135,-110.37961380443784,1
"kelibia, Nabeul",2800.0,777.10376141293,2022.89623858707,72.24629423525249,1
Boumhel Belair,3000.0,3160.8259314596785,-160.8259314596785,-5.360864381989283,1
Chaffar,7000.0,949.4043848688202,6050.59561513118,86.43708021615973,1
Cherqui Kerkennah,300.0,341.087781446491,-41.08778144649102,-13.69592714883034,1
Citer Caserne,950.0,1371.1117899511955,-421.11178995119553,-44.32755683696795,1
hiboun,820000.0,683404.4081113185,136595.59188868152,16.65799901081482,1
jardins-d-el-menzah-1,340000.0,433344.7477533668,-93344.74775336684,-27.454337574519656,1
menzah-1-4,320000.0,305070.7332370116,14929.266762988407,4.6653958634338775,1
menzah-5,1100000.0,959621.177523469,140378.82247653103,12.761711134230094,1
menzah-8,650000.0,422650.59128718905,227349.40871281092,34.97683210966323,1
ksour-essef,310000.0,260983.2755353395,49016.72446466051,15.81184660150339,1
lac 2,3900.0,2807.4360436703823,1092.5639563296177,28.014460418708147,1
les-jardins-de-carthage,675000.0,485243.4007757747,189756.59922422533,28.11208877395931,1
Kalla Kebira,900.0,1114.3997247071013,-214.3997247071013,-23.82219163412237,1
Kebili,300.0,717.6600182610831,-417.6600182610831,-139.22000608702768,1
Kebili Sud,86000.0,294121.8308736556,-208121.8308736556,-242.0021289228553,1
Kelibia Hay Bostene,450.0,766.6641798278032,-316.6641798278032,-70.36981773951182,1
Kerkennah,100.0,162.52695069453287,-62.52695069453287,-62.52695069453287,1
Khlidia,330.0,810.2001370310016,-480.2001370310017,-145.51519303969746,1
